"Framework","Purpose","Letter","Means","Detail"
"LOCATOR","The deal screen","L","Location & legal capacity","What the record says you may do here — use, zoning, and the ceiling that caps a permission."
"LOCATOR","The deal screen","O","Ownership economics","How it pays: cash flow, amortisation, appreciation, tax — and which of the four you control."
"LOCATOR","The deal screen","C","Cash flow","Does it pay while you hold it? NOI rebuilt from scratch, not inherited from a broker."
"LOCATOR","The deal screen","A","Asset test","Can you name, source and defend the cash flows before you own it? If not, it is a position."
"LOCATOR","The deal screen","T","Terms & leverage","Can the building service the debt? Coverage first, then price."
"LOCATOR","The deal screen","O","Outlook","What would have to be true for this to clear — against what the market is actually doing."
"LOCATOR","The deal screen","R","Record","What could not be checked travels with the answer. The unknown count is part of the decision."
"EQUITY","The relationship practice","E","Earn it before you need it","Predictability is the cheapest advantage in the business, and you cannot earn it during."
"EQUITY","The relationship practice","Q","Questions before positions","A position is what they say they want. An interest is why — and it is usually cheaper to solve."
"EQUITY","The relationship practice","U","Understand who decides","Map the eight actors. Mark each a gate or a bridge. Nobody neglects gates; everybody neglects bridges."
"EQUITY","The relationship practice","I","Invest first","Deposits made when you wanted nothing are the only ones that count when you do."
"EQUITY","The relationship practice","T","Tell the truth early","The same bad news three weeks late is not late news, it is concealed news."
"EQUITY","The relationship practice","Y","Yield the small things","Spend what is cheap to you and dear to them. Winning the last point loses the next deal."
"BUILD","The delivery discipline","B","Budget a contingency with an owner","Undesignated contingency is spent before the phase that needed it."
"BUILD","The delivery discipline","U","Understand who holds each risk","A risk with no named owner is remembered occasionally, not managed."
"BUILD","The delivery discipline","I","Interrogate the design before you tender","Change orders are incomplete drawings, priced after you lost leverage."
"BUILD","The delivery discipline","L","Lead people who do not work for you","Influence, sequence and being worth working for replace authority."
"BUILD","The delivery discipline","D","Debrief","Compare the decision to what was knowable then — not the outcome to the target."
"PROOF","The evidence discipline","P","Population first","Say which records are in before you average them. It moves the answer more than any model choice."
"PROOF","The evidence discipline","R","Recompute, never retype","A transcribed figure is maintained forever by memory, and goes quietly false."
"PROOF","The evidence discipline","O","One axis, never two","Two scales in one frame let the analyst manufacture the relationship."
"PROOF","The evidence discipline","O","Outliers and skew","On right-skewed prices the mean is a tail. The median is the market."
"PROOF","The evidence discipline","F","Floor","Below the sample floor, decline to report. Four significant figures on eleven observations is a lie in a confident font."
