"ID","Level","Pillar","Title","Kind","Modules","Status","Backed by","Prereqs","Promise","Lands on"
"E1","1","Emotional equity & relationships","Emotional equity: the balance sheet nobody keeps","course","5","live","equity mindset","","Treat trust as a capital account — it is deposited, drawn down, and it compounds or it does not.","The Record Locker — the same discipline of writing down what happened, applied to people"
"E2","1","Emotional equity & relationships","The relationship map: who actually moves your deals","course","5","live","equity","E1","Draw the eight people who decide whether your next deal happens, and what each of them needs from you.","Investment & development i3 — the eight actors and six gates"
"E3","2","Emotional equity & relationships","Trust at speed: how reputation prices your terms","course","5","live","equity","E1","Why the same deal gets different terms for different people, and how that gap is earned.","Delivering the project p5 — leading people who do not work for you"
"E4","3","Emotional equity & relationships","The hard conversation: money, delay and bad news","course","5","live","equity","E1 E3","The skill that separates operators who survive a bad year from those who do not.","Delivering the project p7 — the risk register and the trigger written while calm"
"E5","2","Emotional equity & relationships","Negotiating for the second deal, not the first","course","5","live","equity","E1 E2","Terms are set once; relationships are priced every time. Negotiate for the sequence.","Investor mindset m3 — anchoring at the negotiation table"
"E6","4","Emotional equity & relationships","Partners, families and the money conversations people avoid","course","5","live","equity","E1","Most partnerships fail on unspoken expectations, not on the deal.","Investment & development i7 — control rights and the unpriced unknown"
"E7","3","Emotional equity & relationships","Reading the room: emotion as market information","course","5","live","equity","E1 E4","A seller's urgency, a lender's nervousness and a contractor's hesitation are data.","Evidence & analysis e2 — framing before querying; the coverage floor"
"E8","4","Emotional equity & relationships","The long game: mentors, referrals and compounding goodwill","guide","5","live","equity","E1 E3","How a decade of small deposits becomes deal flow you did not have to chase.","The Academy's own case-study discipline — judge the decision, not the outcome"
"F1","1","Foundations & the Locator.X doctrine","How a building pays you","course","4","live","found","E1","Four income streams, and why treating them as interchangeable is the first expensive mistake.","Foundations f1 — a building pays four different ways"
"F2","1","Foundations & the Locator.X doctrine","Asset or liability: the Locator.X test","course","4","live","found","F1","Name, source and defend the cash flows before you own it — or you have a position, not an asset.","The dashboard's asset / liability verdict"
"F3","1","Foundations & the Locator.X doctrine","Income you work for, income the building works for","course","4","live","found","F2","The distinction that decides whether you are buying a job or an asset.","Foundations f3"
"F4","2","Foundations & the Locator.X doctrine","Your buy box as a statement of who you are","course","4","live","deliver found","F2","A filter with no edge behind any line is a wish list. Write one you can defend.","The Underwrite tab's buy box and the N-of-Y counter"
"F5","1","Foundations & the Locator.X doctrine","Reading Locator.X: score, evidence grade, coverage","guide","4","live","evidence","","How to read every number this platform shows you, including the ones it refuses to show.","The Evidence and Standard tabs"
"F6","2","Foundations & the Locator.X doctrine","From curiosity to first offer: the 90-day path","guide","4","live","wider","F4 E2","A sequenced plan that ends in a written offer, not in more reading.","The full underwriting → decision-memo → Record Locker flow"
"N1","1","The numbers","NOI, and the four things people leave out","course","4","live","read","F1","The number every valuation rests on, and the expenses that quietly are not in it.","Reading the numbers r1"
"N2","1","The numbers","Cap rate is a market opinion, not a property fact","course","4","live","read","N1","What a cap rate actually measures, and why the exit one is somebody else's decision.","Reading the numbers r2; the Outlook exit assumptions"
"N3","2","The numbers","Cash-on-cash and DSCR: the two survival numbers","course","4","live","read","N1","The two figures that decide whether you keep the building through a bad year.","The break-even solver at DSCR 1.20"
"N4","2","The numbers","NPV, IRR and the trap of the short hold","course","4","live","invdev grad","N3","Why a 31% IRR on nine months and a 14% on seven years are not comparable businesses.","Investment & development i1; Graduate g2"
"N5","4","The numbers","Equity multiple, WACC and beating the money","course","4","live","invdev","N4","Beating zero is not the test. Beating the capital you used is.","Investment & development i1"
"N6","3","The numbers","The pro forma that does not lie to you","course","4","live","wider","N3 V1","Building a projection whose assumptions are visible, sourced and challengeable.","The Underwrite financing sheets"
"N7","3","The numbers","Sensitivity: which input actually decides","course","4","live","wider","N6","Find the one variable that moves the outcome, and whether you control it.","The Outlook break-even solver"
"A1","1","The asset","Introduction to the real estate industry","guide","4","live","wider","","Who does what, who pays whom, and where you fit.","The Program tab's tiers and roles"
"A2","1","The asset","The five commercial classes are five different businesses","course","4","live","invdev","F1","Lease length is the real difference between multifamily, office, retail, industrial and hospitality.","Investment & development i2; the use-code map"
"A3","2","The asset","Property valuation: three approaches and when each fails","course","4","live","wider","N2","Income, sales comparison and cost — and the conditions that break each one.","The Comps desk, and why it cannot function in Orleans or EBR"
"A4","2","The asset","Reading the lease clause by clause","course","4","live","invdev","A2","The document where the money actually lives.","Investment & development i4"
"A5","2","The asset","The rent roll you inherit is not the one you underwrote","course","4","live","ops","A4","What changes between the offer and the first month of ownership.","Operations o1"
"A6","3","The asset","Turnover, WALT and the year the building re-leases itself","course","4","live","ops","A5","Rollover arrives with commissions, downtime and capital at the same moment.","Operations o3; Investment & development i4"
"A7","4","The asset","Student housing and conversion stock","course","4","live","ops","A2 D2","Buildings whose recorded use is not their best use — and the campus ring that prices them.","The conversion engine and the campus layer"
"C1","2","Capital & structure","Coverage is the only leverage test that matters","course","4","live","capital lev","N3","Loan-to-value describes the past. Coverage describes whether you survive.","Capital c1; the break-even solver"
"C2","2","Capital & structure","What the loan really costs beyond the rate","course","4","live","lev","C1","Points, term, amortisation, recourse, prepayment and the covenants nobody reads.","Leverage l2"
"C3","3","Capital & structure","The lender's triangle: LTV, DSCR and debt yield","course","4","live","invdev","C2","Three constraints, one binding at a time — and which one changes with the cycle.","Investment & development i5"
"C4","3","Capital & structure","Seller financing and creative terms","course","4","live","capital","C1 E5","The seller is a lender you have not asked yet.","Capital c2"
"C5","4","Capital & structure","Equity partners: pref, promote and the waterfall","course","4","live","invdev","C3 E6","What a GP is really selling, and where the money actually ends up.","Investment & development i7"
"C6","4","Capital & structure","Real estate capital markets: public and private","course","4","live","grad","C3","Where the money that prices your exit actually comes from.","Graduate g4"
"C7","4","Capital & structure","Securitisation: how a mortgage becomes a security","guide","4","live","wider","C6","The plumbing behind commercial lending, and why it decides your terms.","Graduate g4"
"D1","3","Development & delivery","The development system: eight actors, six gates","course","4","live","invdev deliver","F1 E2","Sequencing cheap reversible steps ahead of expensive irreversible ones.","Investment & development i3; Delivering p1"
"D2","3","Development & delivery","Zoning: density, height and coverage are three limits","course","4","live","zone","F1","Three separate constraints that people collapse into one word.","Zoning z1 and z3; the evidence ceiling of 55"
"D3","3","Development & delivery","By right, conditional, and the word that costs a year","course","4","live","zone","D2 E7","The entitlement gate has the longest tail and the least control.","Zoning z2; Delivering p1"
"D4","3","Development & delivery","Feasibility as a gate, not an opinion","course","4","live","invdev","D2 N7","Residual land value, and kill criteria written before the model runs.","Investment & development i6"
"D5","3","Development & delivery","Construction cost, schedule and the contingency","course","4","live","build deliver","D4","The schedule is a cost line, and the contingency has an owner or it is already spent.","Construction b1-b3; Delivering p7; the Rebuild cost anchors"
"D6","4","Development & delivery","Value engineering is not cost cutting","course","4","live","deliver","D5","One keeps the function and changes the method. The other removes the function.","Delivering p4"
"D7","4","Development & delivery","The development lab: one site, start to finish","course","5","live","lab","D5 D6 C5 E2","A single parcel carried through all six gates, with the arithmetic at each.","The full Underwrite → conversion engine → Outlook chain"
"V1","2","Evidence, data & judgment","Framing the question before you touch the data","course","4","live","evidence","F5","The most expensive errors are correct answers to questions nobody needed.","Evidence & analysis e2; the per-signal coverage chart"
"V2","3","Evidence, data & judgment","Keys, joins and the duplicate that doubles your market","course","4","live","evidence","V1","A key that is not unique will silently multiply your rows.","Evidence & analysis e3"
"V3","3","Evidence, data & judgment","Medians, skew and the sample-size floor","course","4","live","evidence","V1","On right-skewed price data the mean is a tail and the median is a market.","Evidence & analysis e4; the Patterns panel's Wilson intervals"
"V4","4","Evidence, data & judgment","Fitting, holding out and refusing to extrapolate","course","4","live","evidence","V3","Search on one deterministic half, measure on the other, cap what you compound.","Evidence & analysis e5; Predictions and Outlook"
"V5","4","Evidence, data & judgment","Drawing a number so it cannot mislead","course","4","live","evidence","V3","A chart is an argument made in geometry.","Evidence & analysis e7; the validated palette"
"V6","4","Evidence, data & judgment","Screening a market that cannot answer you","course","6","live","nondisc","V1 F5","Underwrite where the record is silent, without turning silence into a pass or a fail.","Screening a market that cannot answer you nd1-nd6"
"M1","2","Market, practice & the long game","Markets, jobs and where the money is going","course","4","live","mkt","F1","From an announcement to a rent, and how long that actually takes.","Markets m1-m3; the corporate projects layer"
"M2","4","Market, practice & the long game","Disruption in commercial real estate","guide","4","live","wider","M1","What is actually changing in how space is used, financed and priced.","Graduate g6 — climate risk in underwriting"
"M3","4","Market, practice & the long game","Holding, tax and the exit","course","4","live","tax","N5 C3","Depreciation, recapture, and why the exit is priced by the next buyer's debt.","Holding, tax & exit t1-t2"
